"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mr isakson",109,"Johnny","Isakson","GA","R","Isakson (GA)",118,"Georgia",0,0,0,0,0,1.01924220765441,0.0817885700987696,-0.259551602990594,0.400299713015846,0.891022510080365,0.160401749312497
"mr jeffords",104,"Jim","Jeffords","VT","R","Jeffords (VT)",119,"Vermont",0,0,0,0,0,-0.393538921109604,-0.447239304365483,-0.672079294299939,-0.233754434941921,-0.263090882002943,-0.779895682819143
"mr johanns",111,"Mike","Johanns","NE","R","Johanns (NE)",120,"Nebraska",0,0,0,0,0,0.997418063294102,0.739956032426586,0.308962709392366,1.15472641183326,0.87319417364227,1.33023268755215
"mr johnson of wisconsin",112,"Ron","Johnson","WI","R","Johnson (WI)",121,"Wisconsin",0,0,0,0,0,1.59404938028904,0.525578878468848,-0.265035025522112,1.26889673126538,1.36058757029853,0.949197401692608
"mr johnson",105,"Tim","Johnson","SD","D","Johnson (SD)",122,"South Dakota",0,0,0,0,0,-0.958709778227377,-0.484018621144562,-0.776958807600682,-0.178757048105865,-0.72478395089711,-0.845267469056205
"mr johnston",104,"J. Bennett, Jr.","Johnston","LA","D","Johnston (LA)",123,"Louisiana",1,0,0,0,0,-0.925085911380015,9.66038734561616e-05,-0.673336981851919,0.697147364077816,-0.697316316858059,0.0152019408047939
"mr kaine",113,"Tim","Kaine","VA","D","Kaine (VA)",124,"Virginia",0,0,0,0,0,-0.911042884167231,-0.0470269218256491,-1.01773837822241,0.841963986788972,-0.685844443797408,-0.0685557066589262
"mrs kassebaum",104,"Nancy L.","Kassebaum","KS","R","Kassebaum (KS)",125,"Kansas",1,0,0,0,1,0.383591698822284,-0.284003872841543,-0.900276054380578,0.340452181246392,0.371753990709968,-0.489760012273805
"mr kaufman",111,"Edwards","Kaufman","DE","D","Kaufman (DE)",126,"Delaware",0,0,0,0,0,-1.51853754964728,-0.657780886865737,-1.23163255344032,-0.114645010985645,-1.18211220585555,-1.15411360013098
"mr kempthorne",104,"Dirk","Kempthorne","ID","R","Kempthorne (ID)",127,"Idaho",0,0,0,0,0,1.15276034859597,0.229394523100992,-0.297735367567773,0.764290269473008,1.0000946596224,0.422757487591676
"mr kennedy",104,"Edward M.","Kennedy","MA","D","Kennedy (MA)",128,"Massachusetts",0,0,0,0,0,-1.74131725266701,-0.630150906588071,-0.77968192537216,-0.486793516927872,-1.36410291446896,-1.10500390145726
